track_id,branch,kappa,Omega_real,Omega_imag,Q,open_channel_count,state_type,log10_Q_display,displayed,source,full_operator_sigma_ratio,full_operator_raw_residual,continuation_sigma_ratio,continuation_residual,mode_overlap,sheet_role
9,broad_resonance_II,-0.47,0.583783216583532,0.212439010578621,1.37400191940614,2,radiative pole,0.13798733940978553,True,independent pole census / target-sheet continuation,nan,nan,nan,nan,nan,physical sheet
9,broad_resonance_II,-0.46,0.582732926327743,0.211118747353347,1.38010700999573,2,radiative pole,0.1399127617989722,True,independent pole census / target-sheet continuation,nan,nan,nan,nan,nan,physical sheet
9,broad_resonance_II,-0.45,0.581349355706994,0.209435073356466,1.38789875637858,2,radiative pole,0.14235778661609558,True,independent pole census / target-sheet continuation,nan,nan,nan,nan,nan,physical sheet
9,broad_resonance_II,-0.44,0.579606766880799,0.207401624747409,1.39730527084031,2,radiative pole,0.14529129727968448,True,independent pole census / target-sheet continuation,nan,nan,nan,nan,nan,physical sheet
9,broad_resonance_II,-0.43,0.577473243272184,0.205039205144167,1.4082020140152,2,radiative pole,0.1486649611120916,True,independent pole census / target-sheet continuation,nan,nan,nan,nan,nan,physical sheet
9,broad_resonance_II,0.43,0.577473243272184,0.205039205144167,1.4082020140152,2,radiative pole,0.1486649611120916,True,independent pole census / target-sheet continuation,nan,nan,nan,nan,nan,physical sheet
9,broad_resonance_II,0.44,0.579606766880799,0.207401624747409,1.39730527084031,2,radiative pole,0.14529129727968448,True,independent pole census / target-sheet continuation,nan,nan,nan,nan,nan,physical sheet
9,broad_resonance_II,0.45,0.581349355706994,0.209435073356466,1.38789875637858,2,radiative pole,0.14235778661609558,True,independent pole census / target-sheet continuation,nan,nan,nan,nan,nan,physical sheet
9,broad_resonance_II,0.46,0.582732926327743,0.211118747353347,1.38010700999573,2,radiative pole,0.1399127617989722,True,independent pole census / target-sheet continuation,nan,nan,nan,nan,nan,physical sheet
9,broad_resonance_II,0.47,0.583783216583532,0.212439010578621,1.37400191940614,2,radiative pole,0.13798733940978553,True,independent pole census / target-sheet continuation,nan,nan,nan,nan,nan,physical sheet
9,broad_resonance_II,0.48,0.584519805614425,0.213387161256001,1.36962271341427,2,radiative pole,0.13660094960285663,True,independent pole census / target-sheet continuation,nan,nan,nan,nan,nan,physical sheet
9,broad_resonance_II,0.49,0.584956375968359,0.213957917571993,1.36698931875594,2,radiative pole,0.1357651211344074,True,independent pole census / target-sheet continuation,nan,nan,nan,nan,nan,physical sheet
9,broad_resonance_II,0.5,0.585101000483139,0.214148459388618,1.36611069291269,2,radiative pole,0.13548589068773725,True,independent pole census / target-sheet continuation,nan,nan,nan,nan,nan,physical sheet
10,broad_resonance_I_adjacent_sheet,-0.5,0.456665033892476,0.0554398603605354,4.11856226659574,0,adjacent-sheet pole,0.6147456362622834,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850061e-16,8.16201774674609e-16,0.999979168894864,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.499,0.455883214306776,0.0574191203984429,3.96978577121444,0,adjacent-sheet pole,0.5987670707707251,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209849921e-16,9.49452720630431e-16,0.999981198587615,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.498,0.455145077963084,0.059299256407685,3.83769633495858,0,adjacent-sheet pole,0.5840706073798257,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850062e-16,1.01107622088712e-15,0.999982850548318,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.497,0.454443457741392,0.0610924812483572,3.71930758462698,0,adjacent-sheet pole,0.5704620957514095,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.4408920985006e-16,8.2565158678207e-16,0.999984219635421,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.496,0.453772807563378,0.062808670150149,3.6123421056249,0,adjacent-sheet pole,0.5577888732997038,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209848966e-16,1.02341994613431e-15,0.999985371825072,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.495,0.453128745801194,0.0644559397834281,3.51502706595937,0,adjacent-sheet pole,0.5459286734672356,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209849842e-16,9.93470133159583e-16,0.999986354319847,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.494,0.452507749395702,0.0660410558023788,3.42595786740437,0,adjacent-sheet pole,0.5347820176877799,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209848008e-16,7.75410236607387e-16,0.99998720171897,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.493,0.451906942561216,0.0675697269229041,3.34400450572217,0,adjacent-sheet pole,0.5242668539371215,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209849882e-16,7.47972259339994e-16,0.999987939922067,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.492,0.451323946944878,0.0690468217830377,3.2682456287637,0,adjacent-sheet pole,0.5143146889888729,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850055e-16,8.02480980109858e-16,0.999988588676658,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.491,0.450756772921439,0.0704765319343653,3.19792107067093,0,adjacent-sheet pole,0.5048677405249457,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.4408920985e-16,9.84184611324109e-16,0.999989163286208,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.49,0.450203739145098,0.071862496423262,3.13239701897809,0,adjacent-sheet pole,0.4958768019887015,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850055e-16,1.13786639505314e-15,0.999989675782943,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.489,0.449663411958289,0.0732078984489456,3.07114001006243,0,adjacent-sheet pole,0.4872996159258014,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850056e-16,9.65310661278943e-16,0.999990135750364,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.488,0.44913455903807,0.0745155413681578,3.01369721531672,0,adjacent-sheet pole,0.47909961681647373,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209848878e-16,1.00172434294434e-15,0.999990550911122,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.487,0.448616113435725,0.0757879091846354,2.95968128862614,0,adjacent-sheet pole,0.47124494685513363,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850027e-16,7.20723192375798e-16,0.999990927554377,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.486,0.448107145326244,0.0770272152188268,2.90875857353285,0,adjacent-sheet pole,0.4637076763747244,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209848272e-16,1.03194540231384e-15,0.999991270851299,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.485,0.447606839560756,0.078235441657953,2.8606398204902,0,adjacent-sheet pole,0.4564631797833266,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209849615e-16,1.10902876320371e-15,0.999991585091264,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.484,0.447114477644463,0.0794143719877665,2.81507280390846,0,adjacent-sheet pole,0.44948963113295726,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850053e-16,1.2448584343013e-15,0.999991873860952,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.483,0.446629423130281,0.0805656178089869,2.7718363942122,0,adjacent-sheet pole,0.4427675927551594,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850036e-16,1.21352189229316e-15,0.999992140181744,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.482,0.446151109677874,0.0816906411807543,2.73073575644173,0,adjacent-sheet pole,0.4362796770450827,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209848132e-16,1.27211053618014e-15,0.999992386616274,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.481,0.445679031213601,0.0827907733689747,2.69159842985967,0,adjacent-sheet pole,0.4300102662855636,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850054e-16,9.21741212489853e-16,0.999992615351883,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.48,0.445212733761897,0.0838672306810999,2.65427110294598,0,adjacent-sheet pole,0.423945278927984,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209849716e-16,9.23641708112096e-16,0.999992828266586,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.479,0.444751808617834,0.0849211279214722,2.61861694200001,0,adjacent-sheet pole,0.4180719733611492,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850038e-16,1.14158745424886e-15,0.999993026981664,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.478,0.444295886604467,0.085953489889519,2.58451336400387,0,adjacent-sheet pole,0.4123787821597869,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850002e-16,9.11998114946241e-16,0.999993212903925,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.477,0.443844633214076,0.0869652612573886,2.55185016865781,0,adjacent-sheet pole,0.40685517128916987,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850062e-16,9.88620452379907e-16,0.999993387259927,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.476,0.44339774447461,0.0879573150973594,2.52052796281819,0,adjacent-sheet pole,0.4014915198778292,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209849812e-16,8.70806683630444e-16,0.999993551123869,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.475,0.442954943414971,0.0889304602776881,2.49045682453363,0,adjacent-sheet pole,0.39627901704638524,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209849999e-16,8.01221129200359e-16,0.999993705440482,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.474,0.442515977027771,0.0898854479049587,2.46155516461168,0,adjacent-sheet pole,0.39120957296191095,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850051e-16,9.21554425296102e-16,0.999993851043928,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.473,0.442080613647718,0.0908229769588319,2.43374875197112,0,adjacent-sheet pole,0.3862757418214852,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209849196e-16,9.17052316197186e-16,0.999993988673496,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.472,0.441648640679082,0.0917436992394549,2.40696987553533,0,adjacent-sheet pole,0.38147065489046594,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850011e-16,1.10182228473375e-15,0.999994118986698,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.471,0.441219862617841,0.0926482237272046,2.38115662053585,0,adjacent-sheet pole,0.37678796205646947,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.4408920984992e-16,8.03405443164984e-16,0.999994242570275,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.47,0.440794099323738,0.0935371204378125,2.35625224114525,0,adjacent-sheet pole,0.37222178062851097,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209847783e-16,6.5921437850227e-16,0.999994359949458,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.469,0.44037118450527,0.0944109238424099,2.33220461458642,0,adjacent-sheet pole,0.3677666503269055,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209849956e-16,9.84429772018496e-16,0.999994471595829,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.468,0.439950964386816,0.09527013591099,2.30896576445455,0,adjacent-sheet pole,0.3634174935846942,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209848741e-16,1.00775979042789e-15,0.999994577934008,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.467,0.439533296532244,0.0961152288287259,2.28649144307547,0,adjacent-sheet pole,0.3591695804238692,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850041e-16,1.09124256595318e-15,0.999994679347354,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.466,0.439118048803433,0.0969466474270917,2.2647407644172,0,adjacent-sheet pole,0.35501849728641144,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850058e-16,1.31479106590582e-15,0.999994776182876,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.465,0.43870509843554,0.0977648113655297,2.24367588045191,0,adjacent-sheet pole,0.35096011929624515,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850058e-16,1.91206172166846e-15,0.999994868755441,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.464,0.438294331213658,0.0985701170942365,2.22326169499542,0,adjacent-sheet pole,0.3469905855074891,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850055e-16,1.05507313378564e-15,0.999994957351425,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.463,0.437885640737799,0.0993629396243085,2.20346560998218,0,adjacent-sheet pole,0.3431062767603823,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.4408920984987e-16,9.10496578765263e-16,0.999995042231868,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.462,0.437478927765066,0.100143634127857,2.18425729990247,0,adjacent-sheet pole,0.33930379582116327,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850012e-16,8.69833740269535e-16,0.999995123635226,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.461,0.437074099619496,0.100912537387627,2.1656085107671,0,adjacent-sheet pole,0.3355799495282079,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850005e-16,1.07992441124358e-15,0.999995201779769,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.46,0.43667106966138,0.101669969113066,2.14749288049731,0,adjacent-sheet pole,0.33193173270544174,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850062e-16,1.04018393816308e-15,0.999995276865681,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.459,0.436269756809017,0.102416233137576,2.12988577808254,0,adjacent-sheet pole,0.32835631363658746,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850055e-16,9.52692266044739e-16,0.999995349076901,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.458,0.435870085106812,0.103151618509797,2.11276415922362,0,adjacent-sheet pole,0.32485102092158924,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209849737e-16,9.03628900854023e-16,0.999995418582746,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.457,0.435471983334425,0.103876400490168,2.09610643649345,0,adjacent-sheet pole,0.32141333155985374,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.4408920982924e-16,1.31580351331767e-15,0.999995485539343,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.456,0.435075384652388,0.104590841462628,2.07989236231476,0,adjacent-sheet pole,0.3180408601251054,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209849429e-16,8.77693781923995e-16,0.999995550090896,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.455,0.434680226280185,0.105295191770115,2.06410292328067,0,adjacent-sheet pole,0.31473134891370685,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850057e-16,1.54039767284753e-15,0.999995612370806,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.454,0.434286449203297,0.10598969048152,2.0487202445365,0,adjacent-sheet pole,0.3114826589629617,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850057e-16,1.04338893184507e-15,0.999995672502669,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.453,0.433893997906135,0.106674566096846,2.03372750310612,0,adjacent-sheet pole,0.3082927618485854,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.4408920985006e-16,9.79046868018065e-16,0.99999573060117,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.452,0.433502820128183,0.10735003719654,2.01910884918704,0,adjacent-sheet pole,0.3051597321814038,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850031e-16,9.04266713787199e-16,0.999995786772874,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.451,0.433112866640962,0.10801631304033,2.00484933455955,0,adjacent-sheet pole,0.30208174073275607,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850059e-16,7.82533758651233e-16,0.999995841116937,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.45,0.432724091043732,0.10867359412027,1.99093484735966,0,adjacent-sheet pole,0.2990570481262769,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209847614e-16,1.03953692301695e-15,0.999995893725743,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.449,0.432336449576077,0.109322072672218,1.97735205255557,0,adjacent-sheet pole,0.2960839990408164,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.4408920985002e-16,1.11473463235128e-15,0.999995944685475,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.448,0.431949900945722,0.109961933149487,1.96408833754546,0,adjacent-sheet pole,0.29316101687546103,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850055e-16,1.26915366036864e-15,0.999995994076636,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.447,0.431564406170138,0.110593352662064,1.95113176236213,0,adjacent-sheet pole,0.29028659883304153,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209849726e-16,9.73686463627904e-16,0.999996041974506,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.446,0.431179928441316,0.111216501385803,1.93847101405205,0,adjacent-sheet pole,0.2874593113884368,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,9.98292068265702e-12,1.51109263594837e-11,0.999996088449559,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.445,0.43079643294793,0.111831542935782,1.92609536468306,0,adjacent-sheet pole,0.28467778607527733,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,9.56818870061236e-12,1.44820146163959e-11,0.99999613356786,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.444,0.430413886816648,0.112438634727635,1.91399463298028,0,adjacent-sheet pole,0.2819407156402413,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,9.17630952328585e-12,1.38876003999365e-11,0.999996177391392,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.443,0.430032258952926,0.113037928300513,1.90215914878447,0,adjacent-sheet pole,0.2792468504286174,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,8.8056894244232e-12,1.33255897815802e-11,0.999996219978372,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.442,0.42965151994581,0.113629569625086,1.89057972041705,0,adjacent-sheet pole,0.27659499505864465,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,8.45497702093026e-12,1.27938919013286e-11,0.999996261383538,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.441,0.429271641969307,0.114213699389814,1.87924760454607,0,adjacent-sheet pole,0.2739840053286228,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,8.12248126778542e-12,1.22897972055737e-11,0.999996301658403,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.44,0.428892598690889,0.114790453268513,1.86815447835039,0,adjacent-sheet pole,0.2714127853422871,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,7.8075906109387e-12,1.18122448174138e-11,0.999996340851497,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.439,0.428514365186497,0.115359962170717,1.85729241377678,0,adjacent-sheet pole,0.26888028483410636,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,7.5085082462059e-12,1.13589402346344e-11,0.999996379008579,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.438,0.428136917861522,0.115922352476158,1.84665385370599,0,adjacent-sheet pole,0.2663854966780325,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,7.22497684632491e-12,1.09288854087063e-11,0.999996416172833,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.437,0.427760234377252,0.116477746254585,1.83623158986224,0,adjacent-sheet pole,0.2639274545647819,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,6.95527088811571e-12,1.05200886626303e-11,0.999996452385049,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.436,0.427384293582354,0.117026261472028,1.82601874231668,0,adjacent-sheet pole,0.2615052308340628,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,6.69896090204462e-12,1.0131634021833e-11,0.999996487683787,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.435,0.427009075448974,0.117568012184522,1.81600874045054,0,adjacent-sheet pole,0.2591179344495509,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,6.45526240753314e-12,9.7623281106193e-12,0.999996522105531,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.434,0.4266345610131,0.118103108720201,1.80619530525587,0,adjacent-sheet pole,0.2567647091053501,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,6.22330295930684e-12,9.410728772224e-12,0.999996555684824,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.433,0.426260732318844,0.118631657850624,1.79657243286431,0,adjacent-sheet pole,0.25444473145390845,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,6.00224911387668e-12,9.07588715200544e-12,0.999996588454405,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.432,0.425887572366347,0.119153762952091,1.78713437920372,0,adjacent-sheet pole,0.2521572094460353,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,5.79157336105471e-12,8.75647293102965e-12,0.999996620445318,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.431,0.425515065063027,0.119669524157659,1.7778756456925,0,adjacent-sheet pole,0.2499013807746591,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,5.5908280986152e-12,8.45222129686121e-12,0.999996651687023,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.43,0.425143195177919,0.12017903850051,1.76879096588927,0,adjacent-sheet pole,0.24767651141458644,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,5.39916022251664e-12,8.16182869475689e-12,0.999996682207501,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.429,0.424771948298881,0.120682400049264,1.75987529302319,0,adjacent-sheet pole,0.2454818942512265,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,5.2162610653037e-12,7.8848561152836e-12,0.999996712033343,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.428,0.42440131079244,0.121179700035793,1.751123788337,0,adjacent-sheet pole,0.2433168477918692,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,5.04162919104583e-12,7.6201425183126e-12,0.999996741189835,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.427,0.424031269766112,0.121671026976029,1.74253181018046,0,adjacent-sheet pole,0.24118071495354435,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.87457418894142e-12,7.36712578112378e-12,0.999996769701042,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.426,0.423661813032987,0.122156466784236,1.73409490379784,0,adjacent-sheet pole,0.2390728619221119,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.71493639396391e-12,7.12523033833007e-12,0.99999679758988,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.425,0.423292929078453,0.122636102881183,1.72580879175753,0,adjacent-sheet pole,0.23699267707756297,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.56229751544255e-12,6.89401241076428e-12,0.999996824878182,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.424,0.422924607028871,0.123110016296598,1.71766936497659,0,adjacent-sheet pole,0.2349395699809949,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.41597416420722e-12,6.67242981292659e-12,0.999996851586764,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.423,0.4225568366221,0.123578285766288,1.70967267429669,0,adjacent-sheet pole,0.23291297041900066,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.27616795300069e-12,6.46054451294732e-12,0.999996877735485,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.422,0.422189608179724,0.124040987824244,1.70181492257193,1,adjacent-sheet pole,0.23091232750165008,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.14202870066282e-12,6.25734469069599e-12,0.999996903343299,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.421,0.421822912580869,0.124498196890064,1.69409245723195,1,adjacent-sheet pole,0.22893710881045526,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.01352928626171e-12,6.06282338421121e-12,0.999996928428311,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,-0.42,0.421456741233674,0.124949985350905,1.68650176328581,1,adjacent-sheet pole,0.22698679959275478,True,fixed n=0 sheet continuation (reciprocal partner),nan,nan,4.44089209850062e-16,9.98494665996925e-16,nan,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,0.42,0.421456741233674,0.124949985350905,1.68650176328581,1,adjacent-sheet pole,0.22698679959275478,True,fixed n=0 sheet continuation,nan,nan,4.44089209850062e-16,9.98494665996925e-16,nan,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,0.421,0.421822912580869,0.124498196890064,1.69409245723195,1,adjacent-sheet pole,0.22893710881045526,True,fixed n=0 sheet continuation,nan,nan,4.01352928626171e-12,6.06282338421121e-12,0.999996928428311,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,0.422,0.422189608179724,0.124040987824244,1.70181492257193,1,adjacent-sheet pole,0.23091232750165008,True,fixed n=0 sheet continuation,nan,nan,4.14202870066282e-12,6.25734469069599e-12,0.999996903343299,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,0.423,0.4225568366221,0.123578285766288,1.70967267429669,0,adjacent-sheet pole,0.23291297041900066,True,fixed n=0 sheet continuation,nan,nan,4.27616795300069e-12,6.46054451294732e-12,0.999996877735485,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,0.424,0.422924607028871,0.123110016296598,1.71766936497659,0,adjacent-sheet pole,0.2349395699809949,True,fixed n=0 sheet continuation,nan,nan,4.41597416420722e-12,6.67242981292659e-12,0.999996851586764,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,0.425,0.423292929078453,0.122636102881183,1.72580879175753,0,adjacent-sheet pole,0.23699267707756297,True,fixed n=0 sheet continuation,nan,nan,4.56229751544255e-12,6.89401241076428e-12,0.999996824878182,adjacent-sheet continuation
10,broad_resonance_I_adjacent_sheet,0.426,0.423661813032987,0.122156466784236,1.73409490379784,0,adjacent-sheet pole,0.2390728619221119,True,fixed n=0 sheet continuation,nan,nan,4.71493639396391e-12,7.12523033833007e-12,0.99999679758988,adjacent-sheet continuation
